Date,Return
2013-12-11,0.6850708700926601
2013-12-10,0.6841287255465147
2013-12-09,-0.6011056201578127
2013-12-06,-0.7670633831107206
2013-12-05,-1.1711764637801778
2013-12-04,0.07944935341818937
2013-12-03,-0.46494760213305836
2013-12-02,0.11583167063867242
2013-11-29,0.48458973237430547
2013-11-27,0.33221384903631107
2013-11-26,-0.44210355071965013
2013-11-25,-1.17912264782712
2013-11-22,-1.3423555379763699
2013-11-21,0.21126420412833327
2013-11-20,-1.1372516784230862
2013-11-19,0.2826935264784224
2013-11-18,0.6193859491412936
2013-11-15,0.19485906970018593
2013-11-14,0.16157101571393526
2013-11-13,-0.26660168359328906
2013-11-12,-2.003931721374637
2013-11-11,-0.11761358734389976
2013-11-08,0.5382985330224274
2013-11-07,-0.795255854372944
